Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-567.9779	-596.3206	28.34271	1.436987	2.334365	0.681466	0.318534	2.417472
6	-571.0617	-600.3732	29.31151	1.497288	2.416461	0.681466	0.318534	1.708286
12	-578.648	-608.3037	29.65568	1.113869	1.097615	0.572835	0.427165	2.324641
18	-574.5421	-603.384	28.84191	1.828866	1.295176	0.509846	0.490154	2.277358
24	-570.4833	-599.1465	28.66319	1.196198	1.843175	0.67964	0.32036	2.54251
30	-570.8451	-599.6392	28.79412	1.082786	1.815341	0.753185	0.246815	2.54251
36	-568.1726	-597.85	29.67746	1.778903	1.757441	0.475777	0.524223	1.511226
42	-568.3406	-598.2161	29.87547	1.854637	2.351468	0.558637	0.441363	0.9929325
48	-566.8588	-596.182	29.3232	1.477183	2.283966	0.533164	0.466836	1.76226
54	-563.9316	-592.4423	28.51065	1.224963	1.687725	0.533164	0.466836	2.681275
60	-564.7117	-591.6263	26.91462	0.7500432	1.999872	0.55512	0.44488	3.79234
66	-569.6772	-594.9557	25.27859	0.7342723	1.74504	0.55512	0.44488	4.816581
72	-578.6865	-607.7769	29.09037	0.7998797	1.527832	0.55512	0.44488	2.654618
78	-567.6084	-594.0774	26.46903	0.7514944	2.648366	0.609451	0.390549	3.852599
84	-568.781	-596.4641	27.68306	1.08406	2.111669	0.44403	0.55597	3.109806
90	-570.6526	-598.2107	27.55807	1.135632	3.171294	0.537603	0.462397	2.851491
96	-568.8103	-594.1492	25.33895	0.7214434	2.328708	0.532427	0.467573	4.600292
102	-564.8143	-591.3093	26.49502	0.7489196	2.328708	0.566007	0.433993	3.929748
108	-566.5437	-592.065	25.52128	0.6961927	1.783456	0.573212	0.426788	4.688354
114	-571.3271	-597.8248	26.49772	0.5494206	1.783456	0.570278	0.429722	4.221016
120	-572.8397	-600.1143	27.27461	0.8735594	1.423497	0.687922	0.312078	3.735214
126	-567.227	-595.7922	28.56526	0.9600429	1.814926	0.546965	0.453035	2.75937
