Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-567.9779	-596.3206	28.34271	0.499776	0.0839918	0.0673846	0.0104717	0.0664184	0.135381	0.198796	0.212722	0.137253	0.0154407	0.116203	0.011128	0.00757135	0.0246646	0.0297157	0.003411	0.0595604	0.00980993	0.0189684	0.00680749	0.0298026	0.0944785	0.00532546	0.0315221	0.260255	0.0318031	0.0359062	0.109603	0.103301	0.5998143	1.400186	0.137059	0.379374	0.739055	1.35308	2.63592	7.29613	1.436987	2.334365	0.206735	0.0347437	0.027874	0.00433169	0.0274743	0.0560012	0.0822329	0.0879937	0.0567755	0.00638712	0.0480679	0.00460314	0.00313193	0.0102026	0.0122921	0.00141098	0.0246375	0.00405793	0.00784637	0.00281595	0.012328	0.0390815	0.0022029	0.0130393	0.107656	0.0131555	0.0148528	0.0453378	0.0427308	0.681466	0.318534	0.6814665	2.417472
36	-568.1726	-597.85	29.67746	0.249499	0.0175311	0.0534392	0.0116955	0.0818137	0.0460904	0.122466	0.17036	0.111069	0.0593351	0.0423735	0.0173877	0.0211831	0.0137176	0.0107346	0.0003299	0.0460929	0.00317231	0.0034078	0.0637489	0.0610095	0.0156623	0.195166	0.00851524	0.0311	0.00137233	0.0407273	0.00101962	0.0112067	0.72531	1.27469	0.0854168	0.301239	0.687749	1.45402	3.31962	11.7073	1.778903	1.757441	0.165097	0.0116006	0.0353615	0.00773911	0.0541373	0.0304987	0.0810374	0.112729	0.0734958	0.0392629	0.0280392	0.0115057	0.0140171	0.00907711	0.00710321	0.0002183	0.0305003	0.00209916	0.00225499	0.0421836	0.0403709	0.010364	0.129144	0.00563466	0.0205793	0.000908088	0.0269499	0.0006747	0.00741566	0.475777	0.524223	0.4757765	1.511226
72	-578.6865	-607.7769	29.09037	0.365968	0.0161716	0.119409	0.0560976	0.0224805	0.214537	0.0760495	0.0707697	0.361812	0.0867446	0.0615596	0.0209304	0.0384349	0.0206229	0.0234173	0.0209817	0.121661	0.026679	0.120151	0.0350389	0.0635967	0.0414525	0.442805	0.0182903	0.0273854	0.00785719	0.148015	0.0224383	0.0032617	0.7911919	1.208808	0.330804	0.583033	0.845086	1.18331	1.71517	3.02294	0.7998797	1.527832	0.137861	0.00609186	0.0449816	0.0211321	0.00846845	0.0808164	0.028648	0.0266591	0.136295	0.0326769	0.0231896	0.00788454	0.0144785	0.00776869	0.00882134	0.00790385	0.0458298	0.01005	0.0452613	0.0131992	0.023957	0.0156152	0.166805	0.00688998	0.0103161	0.00295982	0.0557575	0.00845255	0.00122869	0.55512	0.44488	0.5551197	2.654618
108	-566.5437	-592.065	25.52128	0.970426	0.198217	0.133549	0.00413902	0.0958623	0.193893	0.211161	0.111738	0.401996	0.0638395	0.12272	0.0422863	0.0734397	0.0293606	0.0435386	0.015385	0.100098	0.0121626	0.0206906	0.196426	0.138834	0.376307	0.716573	0.0507899	0.0744333	0.0201507	0.23842	0.0316041	0.000313265	0.7185312	1.281469	0.381811	0.625268	0.863727	1.15777	1.59931	2.6191	0.6961927	1.783456	0.206987	0.0422787	0.0284853	0.000882831	0.0204469	0.0413562	0.0450396	0.023833	0.0857436	0.0136166	0.0261755	0.00901943	0.0156643	0.00626245	0.00928655	0.00328154	0.0213504	0.00259421	0.0044132	0.0418966	0.0296125	0.0802642	0.152841	0.0108332	0.0158762	0.00429804	0.0508536	0.00674098	6.68177e-05	0.573212	0.426788	0.5732117	4.688354
144	-569.0633	-594.3844	25.3211	1.17724	0.0542971	0.134447	0.0107501	0.23751	0.185715	0.347143	0.0425782	0.369908	0.0275857	0.216658	0.030968	0.0396325	0.147127	0.1144	0.0142032	0.0594036	0.0461732	0.0277187	0.205757	0.174082	0.465288	0.679062	0.018525	0.112917	0.0305785	0.124039	0.0382179	0.00995309	0.8743113	1.125689	0.543134	0.742529	0.911308	1.09732	1.34675	1.84117	0.4413609	1.287515	0.228951	0.0105598	0.0261475	0.0020907	0.0461913	0.0361181	0.0675129	0.00828067	0.0719402	0.00536492	0.042136	0.0060227	0.00770778	0.0286135	0.0222488	0.00276226	0.0115529	0.00897983	0.00539078	0.040016	0.0338557	0.0904899	0.132065	0.00360277	0.0219603	0.00594694	0.0241233	0.00743268	0.00193569	0.520148	0.479852	0.5201482	5.141877
180	-572.0131	-598.1919	26.17886	0.577427	0.172777	0.0551497	0.00350971	0.0369413	0.255265	0.317198	0.297557	0.222964	0.100226	0.131256	0.0468421	0.00230511	0.0538541	0.048064	0.0120796	0.0631265	0.224838	0.0116255	0.0886907	0.705473	0.0962935	0.0882974	0.0430498	0.32704	0.0418862	0.32492	0.0467387	0.021969	0.8808103	1.11919	0.290124	0.54689	0.82838	1.20718	1.82852	3.44681	0.8947604	1.270636	0.130718	0.0391132	0.0124848	0.000794525	0.00836275	0.0577867	0.0718071	0.0673607	0.0504744	0.022689	0.0297136	0.0106041	0.000521829	0.0121915	0.0108807	0.00273458	0.0142905	0.0508986	0.00263178	0.0200778	0.159705	0.0217989	0.0199887	0.00974559	0.0740352	0.00948216	0.0735551	0.0105807	0.00497333	0.761909	0.238091	0.7619095	4.417363
216	-575.3358	-603.5135	28.17777	0.495742	0.106158	0.0610024	0.205609	0.0979568	0.0745236	0.160147	0.215824	0.319822	0.150866	0.0764809	0.0291704	0.00615425	0.0331046	0.0486476	0.00701324	0.0272487	0.0595142	0.370298	0.0191179	0.0224216	0.0381424	0.00449691	0.0958779	0.0215299	0.0740877	0.109367	0.214753	0.0267505	0.7329091	1.267091	0.370749	0.616367	0.859872	1.16296	1.62241	2.69724	0.7174504	1.728851	0.156295	0.0334689	0.0192326	0.0648236	0.0308834	0.0234955	0.0504904	0.0680439	0.100832	0.0475645	0.0241126	0.00919671	0.00194028	0.0104371	0.0153374	0.0022111	0.00859086	0.0187634	0.116746	0.00602742	0.00706898	0.0120254	0.00141777	0.030228	0.00678786	0.023358	0.0344808	0.0677063	0.00843378	0.450979	0.549021	0.4509788	3.171829
252	-567.9483	-597.2767	29.3284	0.264202	0.00769899	0.0330634	0.0181077	0.0469142	0.0254773	0.0815798	0.0779951	0.0937078	0.0208555	0.0271224	0.00966117	0.0143754	0.00679556	0.0160708	0.0067735	0.00100036	0.000516726	0.136841	0.0164427	0.00402546	0.0164913	0.00561887	0.0187851	0.0106732	0.00906025	0.0404815	0.0514474	0.0038069	0.4038187	1.596181	0.10028	0.325754	0.704743	1.41896	3.0698	9.97209	1.662907	3.952718	0.247939	0.00722509	0.0310282	0.0169931	0.0440265	0.0239091	0.0765583	0.0731942	0.0879398	0.0195718	0.0254529	0.00906649	0.0134906	0.00637727	0.0150816	0.00635656	0.000938786	0.000484919	0.128418	0.0154306	0.00377768	0.0154762	0.00527301	0.0176288	0.0100163	0.00850256	0.0379897	0.0482806	0.00357257	0.788498	0.211502	0.7884978	1.065591
288	-566.941	-595.7499	28.8089	0.804633	0.0776804	0.0485143	0.110549	0.0841437	0.0385901	0.128373	0.198433	0.132216	0.0302479	0.0583222	0.00501	0.0164735	0.0225597	0.049148	0.000356818	0.0612015	0.0316128	0.23739	0.00609123	0.0078053	0.0414468	0.136289	0.0700968	0.0351512	0.0171953	0.0448364	0.0887559	0.0283951	0.9227131	1.077287	0.136564	0.378705	0.738648	1.35382	2.64058	7.32258	1.439603	1.167521	0.308109	0.0297453	0.018577	0.0423315	0.0322202	0.0147769	0.0491563	0.0759837	0.0506281	0.0115825	0.0223327	0.00191842	0.00630801	0.00863855	0.0188197	0.000136632	0.0234352	0.0121051	0.0909012	0.00233245	0.0029888	0.0158708	0.0521878	0.0268414	0.0134601	0.00658439	0.0171687	0.0339863	0.010873	0.386873	0.613127	0.3868729	2.611519
324	-568.2236	-597.3503	29.12667	0.419641	0.0488943	0.0274274	0.0113183	0.0316084	0.0468735	0.0943852	0.257543	0.0354085	0.0229801	0.0229469	0.00352575	0.031033	0.00435758	0.012224	0.0136253	0.00851853	0.0133103	0.00201862	0.0117096	0.0545753	0.0433229	0.064489	0.193389	0.0644071	0.0205363	0.0219247	0.038611	0.00930361	0.5743661	1.425634	0.0877871	0.305287	0.690619	1.44798	3.2756	11.3912	1.759111	2.482099	0.257463	0.0299982	0.0168276	0.00694414	0.0193927	0.0287584	0.0579083	0.158011	0.0217242	0.014099	0.0140786	0.00216316	0.0190397	0.00267351	0.00749983	0.00835956	0.00522639	0.00816629	0.00123849	0.0071842	0.0334837	0.0265799	0.039566	0.11865	0.0395158	0.0125997	0.0134515	0.0236891	0.00570806	0.681367	0.318633	0.681367	1.629908
